"fecha","ripte_priv","ist_nom_priv","ist_nom_pub","haber_minimo","sipa_prom_priv","sipa_med_priv"
2010-07-01,3485.26,NA,NA,895.15,3796.59,2897.92
2010-08-01,3570.19,NA,NA,895.15,3875.35,2943.55
2010-09-01,3719.15,NA,NA,1046.43,4013.63,3064.54
2010-10-01,3795.5,NA,NA,1046.43,4055.92,3086.84
2010-11-01,3842.72,NA,NA,1046.43,4099.69,3123.44
2010-12-01,3885.52,NA,NA,1046.43,6166.26,4766.23
2011-01-01,3935.3,NA,NA,1046.43,4608.69,3330.81
2011-02-01,4017.23,NA,NA,1046.43,4365.13,3281.56
2011-03-01,4289.54,NA,NA,1227.78,4757.17,3418.64
2011-04-01,4343.04,NA,NA,1227.78,4633.46,3427.54
2011-05-01,4510.43,NA,NA,1227.78,4862.15,3601.48
2011-06-01,4575.38,NA,NA,1227.78,7042.69,5527.12
2011-07-01,4718.9,NA,NA,1227.78,5019.54,3913.73
2011-08-01,4875.01,NA,NA,1227.78,5114.96,3972.79
2011-09-01,5034.58,NA,NA,1434,5277.16,4176.76
2011-10-01,5115.77,NA,NA,1434,5332.89,4189.98
2011-11-01,5242.9,NA,NA,1434,5402.56,4259.99
2011-12-01,5280.28,NA,NA,1434,8130.47,6480.21
2012-01-01,5350.76,NA,NA,1434,6028.03,4513.45
2012-02-01,5501.32,NA,NA,1434,5824.77,4483.49
2012-03-01,5711.74,NA,NA,1686.67,6145.19,4540.95
2012-04-01,5983.14,NA,NA,1686.67,6087.02,4682.46
2012-05-01,6163.78,NA,NA,1686.67,6278.22,5049.43
2012-06-01,6193.16,NA,NA,1686.67,9107.16,7396.13
2012-07-01,6413.3,NA,NA,1686.67,6612.18,5301.21
2012-08-01,6468.61,NA,NA,1686.67,6609.57,5341.93
2012-09-01,6577.58,NA,NA,1879.67,6695.82,5358.82
2012-10-01,6743.8,NA,NA,1879.67,6858.57,5425.52
2012-11-01,6907.3,NA,NA,1879.67,7006.19,5694.83
