"fecha","ipc_nivel_general","div01_alimentos","div02_bebidas","div03_prendas","div04_vivienda","div05_equipamiento","div06_salud","div07_transporte","div08_comunicacion","div09_recreacion","div10_educacion","div11_restaurantes","div12_bienes_varios","ipc_regulados"
2025-08-01,9193.2441,9729.0211,6932.52,7401.8179,9314.2826,7874.7486,10410.6938,9384.5631,8369.2742,8429.7057,8230.8327,11291.3028,8970.2821,9000.5641
2025-09-01,9384.0922,9910.131,7042.0634,7553.7487,9605.6566,8048.6896,10648.1896,9663.0675,8550.2948,8542.3767,8483.1542,11412.4415,9162.4211,9237.6711
2025-10-01,9603.8623,10136.6605,7209.6846,7736.2575,9874.9092,8179.996,10842.673,9997.0294,8739.731,8680.0313,8626.8402,11665.8824,9386.3089,9474.6115
2025-11-01,9841.3581,10421.9128,7293.6616,7776.5032,10213.7353,8271.6454,11102.6118,10299.7148,8974.1837,8892.1372,8819.1806,11952.2159,9621.3785,9748.309
2025-12-01,10121.3715,10748.4071,7499.3541,7861.3245,10561.7634,8436.8959,11335.1633,10712.0821,9271.0637,9118.0448,8851.3058,12333.0229,9875.41,10069.0986
2026-01-01,10413.0309,11251.1166,7612.5319,7825.2642,10879.7233,8591.3743,11600.3264,10909.2325,9607.476,9211.9913,8906.6187,12843.2705,10144.8418,10313.8016
2026-02-01,10714.6255,11624.9808,7659.9125,7824.4543,11614.1853,8811.537,11886.5002,11124.8788,9784.5611,9427.9443,9010.4,13228.6515,10476.9884,10752.23
2026-03-01,11077.0608,12014.7,7823.3561,8067.5324,12045.2252,8925.2054,12201.3116,11583.956,10069.9375,9763.4636,10103.1575,13684.7468,10653.9253,11298.7045
2026-04-01,11363.0904,12194.882,7969.9785,8326.6612,12470.6962,9182.794,12508.3899,12091.593,10478.7314,9860.2728,10532.1344,14041.1974,10914.151,11828.0421
2026-05-01,11607.3937,12494.9767,8033.2555,8350.2424,12790.0776,9312.2108,12832.0291,12330.5017,10838.4277,10132.3705,10840.9295,14291.4848,11171.6219,12111.4533
2026-06-01,11826.4103,12657.4575,8201.663,8384.717,13213.1497,9455.0367,13200.749,12531.7975,10933.5551,10556.461,11025.3986,14524.0788,11373.1428,12389.4344
2026-07-01,12076.3937,12907.5083,8325.6018,8272.2793,13505.3648,9653.7167,13536.8295,12767.6573,11194.2601,11085.7507,11235.6659,14923.8212,11628.3085,12652.9797
